25::Leaving Las Vegas::Leaving Las Vegas::1995::Nicolas Cage|Elisabeth Shue|Julian Sands|Richard Lewis|Steven Weber|Kim Adams|Emily Procter|Stuart Regen|Valeria Golino|Graham Beckel|Albert Henderson|Shashi Bhatia|Carey Lowell|Anne Lange|Thomas Kopache
26::Othello::Othello::1995::Laurence Fishburne|IrËne Jacob|Kenneth Branagh|Nathaniel Parker|Michael Maloney|Anna Patrick|Nicholas Farrell|Indra OvÈ|Michael Sheen|AndrÈ Oumansky|Philip Locke|John Savident|Gabriele Ferzetti|Pierre Vaneck|
27::Now and Then::Now and Then::1995::Christina Ricci|Rosie O'Donnell|Thora Birch|Melanie Griffith|Gaby Hoffmann|Demi Moore|Ashleigh Aston Moore|Rita Wilson|Devon Sawa|Walter Sparrow|Cloris Leachman|Lolita Davidovich|Janeane Garofalo|Hank Azaria|Bonnie Hunt
28::Persuasion::Persuasion::1995::Amanda Root|Ciar·n Hinds|Susan Fleetwood|Corin Redgrave|Fiona Shaw|John Woodvine|Phoebe Nicholls|Samuel West|Sophie Thompson|Judy Cornwell|Simon Russell Beale|Felicity Dean|Roger Hammond|Emma Roberts|Victoria Hamilton
29::"City of Lost Children, The"::"City of Lost Children, The "::1995::Ron Perlman|Daniel Emilfork|Judith Vittet|Dominique Pinon|Jean-Claude Dreyfus|GeneviËve Brunet|Odile Mallet|Mireille MossÈ|Serge Merlin|Rufus|Ticky Holgado|Joseph Lucien|Mapi Gal·n|Briac BarthÈlÈmy|Pierre-Quentin Faesch
30::Shanghai Triad::Shanghai Triad (Yao a yao yao dao waipo qiao)::1995::Li Gong|Baotian Li|Xiaoxiao Wang|Xuejian Li|Chun Sun|Biao Fu|Shu Chen|Jiang Liu|Baoying Jiang|Qianquan Yang|Ying Gao|Weiming Gao|Shuliang Lian|Ya'nan Wang|Zhang Yayun
31::Dangerous Minds::Dangerous Minds::1995::Michelle Pfeiffer|George Dzundza|Courtney B. Vance|Robin Bartlett|Beatrice Winde|John Neville|Lorraine Toussaint|Renoly Santiago|Wade Dominguez|Bruklin Harris|Marcello Thedford|Roberto Alvarez|Richard Grant|Marisela Gonzales|Toni Nichelle Buzhardt
32::Twelve Monkeys::Twelve Monkeys::1995::Joseph Melito|Bruce Willis|Jon Seda|Michael Chance|Vernon Campbell|H. Michael Walls|Bob Adrian|Simon Jones|Carol Florence|Bill Raymond|Ernest Abuba|Irma St. Paule|Madeleine Stowe|Joey Perillo|Bruce Kirkpatrick
33::Wings of Courage::Wings of Courage::1995::Craig Sheffer|Tom Hulce|Elizabeth McGovern|Val Kilmer|Ken Pogue|Ron SauvÈ|Freddy Andreiuci
34::Babe::Babe::1995::Christine Cavanaugh|Miriam Margolyes|Danny Mann|Hugo Weaving|Miriam Flynn|Russi Taylor|Evelyn Krape|Michael Edward-Stevens|Charles Bartlett|Paul Livingston|Roscoe Lee Browne|James Cromwell|Magda Szubanski|Zoe Burton|Paul Goddard
35::Carrington::Carrington::1995::Emma Thompson|Jonathan Pryce|Steven Waddington|Samuel West|Rufus Sewell|Penelope Wilton|Janet McTeer|Peter Blythe|Jeremy Northam|Alex Kingston|Sebastian Harcombe|Richard Clifford|David Ryall|Stephen Boxer|Annabel Mullion
36::Dead Man Walking::Dead Man Walking::1995::Susan Sarandon|Sean Penn|Robert Prosky|Raymond J. Barry|R. Lee Ermey|Celia Weston|Lois Smith|Scott Wilson|Roberta Maxwell|Margo Martindale|Barton Heyman|Steve Boles|Nesbitt Blaisdell|Ray Aranha|Larry Pine
37::Across the Sea of Time::Across the Sea of Time::1995::Peter Reznick|John McDonough|Avi Hoffman|Victor Steinbach|Peter Boyden|Philip Levy|Nick Muglia|Abby Lewis|Matt Malloy|Luigi Petrozza|Bernard Ferstenberg|Robert Buckley|Donald Trump|Patrick Flynn|
38::It Takes Two::It Takes Two::1995::Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen|Ashley Olsen|Philip Bosco|Jane Sibbett|Michelle Grisom|Desmond Robertson|Tiny Mills|Shanelle Henry|Anthony Aiello|LaTonya Borsay|MichËle Lonsdale Smith|Sean Orr|Elizabeth Walsh
39::Clueless::Clueless::1995::Alicia Silverstone|Stacey Dash|Brittany Murphy|Paul Rudd|Donald Faison|Elisa Donovan|Breckin Meyer|Jeremy Sisto|Dan Hedaya|Aida Linares|Wallace Shawn|Twink Caplan|Justin Walker|Sabastian Rashidi|Herb Hall
40::"Cry, the Beloved Country"::"Cry, the Beloved Country "::1995::James Earl Jones|Richard Harris|Vusi Kunene|Charles S. Dutton|Tsholofelo Wechoemang|Dolly Rathebe|Ramolao Makhene|Jack Robinson|Jennifer Steyn|Patrick Ndlovu|Darlington Michaels|King Twala|Somizi Mhlongo|Sam Ngakane|John Whiteley
41::Richard III::Richard III::1995::Christopher Bowen|Edward Jewesbury|Ian McKellen|Bill Paterson|Annette Bening|Matthew Groom|John Wood|Nigel Hawthorne|Maggie Smith|Kate Steavenson-Payne|Robert Downey Jr.|Tres Hanley|Tim McInnerny|Stacey Kent|Jim Carter
42::Dead Presidents::Dead Presidents::1995::Larenz Tate|Keith David|Chris Tucker|Freddy RodrÌguez|Rose Jackson|N'Bushe Wright|Alvaleta Guess|James Pickens Jr.|Jenifer Lewis|Clifton Powell|Elizabeth Rodriguez|Terrence Howard|Ryan Williams|Larry McCoy|Rodney Winfield
43::Restoration::Restoration::1995::Robert Downey Jr.|Sam Neill|David Thewlis|Polly Walker|Meg Ryan|Ian McKellen|Hugh Grant|Ian McDiarmid|Mary MacLeod|Mark Letheren|Sandy McDade|Rosalind Bennett|Willie Ross|David Gant|Benjamin Whitrow
44::Mortal Kombat::Mortal Kombat::1995::Christopher Lambert|Robin Shou|Linden Ashby|Cary-Hiroyuki Tagawa|Bridgette Wilson-Sampras|Talisa Soto|Trevor Goddard|Chris Casamassa|FranÁois Petit|Keith Cooke|Hakim Alston|Kenneth Edwards|John Fujioka|Daniel Haggard|Sandy Helberg
45::To Die For::To Die For::1995::Nicole Kidman|Matt Dillon|Joaquin Phoenix|Casey Affleck|Illeana Douglas|Alison Folland|Dan Hedaya|Wayne Knight|Kurtwood Smith|Holland Taylor|Susan Traylor|Maria Tucci|Tim Hopper|Michael Rispoli|Buck Henry
46::How to Make an American Quilt::How to Make an American Quilt::1995::Kaelynn Craddick|Sara Craddick|Kate Capshaw|Adam Baldwin|Winona Ryder|Dermot Mulroney|Ellen Burstyn|Anne Bancroft|Maya Angelou|Alfre Woodard|Lois Smith|Jean Simmons|Kate Nelligan|Denis Arndt|Rip Torn
47::Seven::Seven (Se7en)::1995::Morgan Freeman|Andrew Kevin Walker|Daniel Zacapa|Brad Pitt|Gwyneth Paltrow|John Cassini|Bob Mack|Peter Crombie|Reg E. Cathey|R. Lee Ermey|George Christy|Endre Hules|Hawthorne James|William Davidson|Bob Collins
48::Pocahontas::Pocahontas::1995::Joe Baker|Christian Bale|Irene Bedard|Billy Connolly|James Apaumut Fall|Mel Gibson|Linda Hunt|John Kassir|Judy Kuhn|Danny Mann|Russell Means|David Ogden Stiers|Michelle St. John|Gordon Tootoosis|Frank Welker
49::When Night Is Falling::When Night Is Falling::1995::Pascale BussiËres|Rachael Crawford|Henry Czerny|David Fox|Don McKellar|Tracy Wright|Clare Coulter|Karyne Steben|Sarah Steben|Jonathan Potts|Tom Melissis|Stuart Clow|Richard W. Farrell|Fides Krucker|Thom Sokoloski
50::"Usual Suspects, The"::"Usual Suspects, The "::1995::Stephen Baldwin|Gabriel Byrne|Benicio Del Toro|Kevin Pollak|Kevin Spacey|Chazz Palminteri|Pete Postlethwaite|Suzy Amis|Giancarlo Esposito|Dan Hedaya|Paul Bartel|Carl Bressler|Phillipe Simon|Jack Shearer|Christine Estabrook
51::Guardian Angel::Guardian Angel::1994::Cynthia Rothrock|Daniel McVicar|Lydie Denier|Marshall R. Teague|Ken McLeod|John O'Leary|Anna Dalva|Robert Miano|Brian Brophy|Matthew Walker|Art Camacho|Dan Doherty|Dale Jacoby|Bela Lehoczky|Richard W. Munchkin
52::Mighty Aphrodite::Mighty Aphrodite::1995::Pamela Blair|Rene Ceballos|Elie Chaib|George De La Pena|Joanne DiMauro|Denise Faye|Marian Filali|Angelo Fraboni|Scott Fowler|Seth Gertsacov|Patti Karr|Fred Mann III|John Mineo|Christopher Nelson|Valda Setterfield
53::Lamerica::Lamerica::1994::Enrico Lo Verso|Michele Placido|Piro Milkani|Carmelo Di Mazzarelli|Elida Janushi|Sefer Pema|Idajet Sejdia|Marieta Ljarja|Elina Ndreu|Ilir Ara|Liliana Subashi|Artan Marina|Vassjan Lammi|Nikolin Elezi|Fatmir Gjyla
54::"Big Green, The"::"Big Green, The "::1995::Steve Guttenberg|Olivia d'Abo|Jay O. Sanders|John Terry|Chauncey Leopardi|Patrick Renna|Billy L. Sullivan|Yareli Arizmendi|Bug Hall|Jessica Robertson|Anthony Esquivel|Jordan Brower|Hayley Kolb|Haley Miller|Ashley Welch
55::Georgia::Georgia::1995::Jennifer Jason Leigh|Mare Winningham|Ted Levine|Max Perlich|John Doe|John C. Reilly|Jimmy Witherspoon|Jason Carter|Tom Bower|Smokey Hormel|Jimmy Z.|Tony Marsico|Jamian Briar|Rachel Rasco|Nicole Donahoo
56::Kids of the Round Table::Kids of the Round Table::1995::Johnny Morina|Maggie Castle|Christopher Olscamp|Justin Borntraeger|Billy Coyle|Jeoffrey Graves|Malcolm McDowell|Peter Aykroyd|MÈlany Goudreau|James Rae|Jamieson Boulanger|Roc LaFortune|Michael Ironside|RenÈ Simard|Melissa Altro
57::Home for the Holidays::Home for the Holidays::1995::Holly Hunter|Robert Downey Jr.|Anne Bancroft|Charles Durning|Dylan McDermott|Geraldine Chaplin|Steve Guttenberg|Cynthia Stevenson|Claire Danes|Emily Ann Lloyd|Zack Duhame|Austin Pendleton|David Strathairn|Amy Yasbeck|James Lecesne
58::"Postino, Il"::"Postino, Il (The Postman) "::1994::Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti|Sergio Solli|Carlo Di Maio|Nando Neri|Vincenzo Di Sauro|Orazio Stracuzzi|Alfredo Cozzolino|Mariano Rigillo|Anna Bonaiuto
59::"Confessional, The"::"Confessional, The (Le Confessionnal) "::1995::Jonathan KatzH. Jon BenjaminLaura SilvermanWill Le BowJulianne Bond
60::"Indian in the Cupboard, The"::"Indian in the Cupboard, The "::1995::Hal Scardino|Litefoot|Lindsay Crouse|Richard Jenkins|Rishi Bhat|Steve Coogan|David Keith|Sakina Jaffrey|Vincent Kartheiser|Nestor Serrano|Ryan Olson|Leon Tejwani|Lucas Tejwani|Christopher Conte|Cassandra Brown
61::Eye for an Eye::Eye for an Eye::1996::Sally Field|Ed Harris|Olivia Burnette|Alexandra Kyle|Kiefer Sutherland|Joe Mantegna|Beverly D'Angelo|Darrell Larson|Charlayne Woodard|Philip Baker Hall|Keith David|Wanda Acuna|Geoffrey Rivas|Armin Shimerman|Natalija Nogulich
62::Mr. Holland's Opus::Mr. Holland's Opus::1995::Richard Dreyfuss|Glenne Headly|Jay Thomas|Olympia Dukakis|William H. Macy|Alicia Witt|Terrence Howard|Damon Whitaker|Jean Louisa Kelly|Alexandra Boyd|Nicholas John Renner|Joseph Anderson|Anthony Natale|Joanna Gleason|Beth Maitland
63::Don't Be a Menace to South Central While Drinking Your Juice in the Hood::Don't Be a Menace to South Central While Drinking Your Juice in the Hood::1996::Shawn Wayans|Marlon Wayans|Tracey Cherelle Jones|Chris Spencer|Suli McCullough|Darrel Heath|Helen Martin|Isaiah Barnes|Lahmard J. Tate|Keenen Ivory Wayans|Keith Morris|Craig Wayans|Casey Lee|Joe Scott|Kim Wayans
64::Two if by Sea::Two if by Sea::1996::Denis Leary|Sandra Bullock|Stephen Dillane|Yaphet Kotto|Mike Starr|Jonathan Tucker|Wayne Robson|Michael Badalucco|Lenny Clarke|Jonny Fido|Don Gavin|Shaun R. Clarke|Markus Parilo|John Friesen|Sean Runnette
65::Bio-Dome::Bio-Dome::1996::William Atherton|Denise Dowse|Dara Tomanovich|Kevin West|Kylie Minogue|Pauly Shore|Stephen Baldwin|Joey Lauren Adams|Teresa Hill|Patricia Hearst|Robbie Thibaut Jr.|Adam Weisman|Henry Gibson|Brian Hayes Currie|Courtney Mizel
66::Lawnmower Man 2::Lawnmower Man 2:: Beyond Cyberspace::1996::Patrick Bergin|Matt Frewer|Austin O'Brien|Ely Pouget|Camille Cooper|Patrick LaBrecque|Crystal Celeste Grant|Sean P. Young|Mathew Valencia|Kevin Conway|Trever O'Brien|Richard Fancy|Ellis Williams|Castulo Guerra|Molly Shannon
67::Two Bits::Two Bits::1995::Jerry Barone|Mary Elizabeth Mastrantonio|Al Pacino|Patrick Borriello|Andy Romano|Donna Mitchell|Mary Lou Rosato|Joe Grifasi|Rosemary De Angelis|Ron McLarty|Charley Scalies|Joanna Merlin|Geoff Pierson|Karen Shallo|Nick Discenza
68::French Twist::French Twist (Gazon maudit)::1995::Victoria Abril|Josiane Balasko|Alain Chabat|Ticky Holgado|Catherine Hiegel|Catherine Samie|Catherine Lachens|Katrine Boorman|Telsche Boorman|VÈronique Barrault|Sylvie Audcoeur|MichËle Bernier|Maureen Diot|Miguel BosÈ|Jean-Luc Violet
69::Friday::Friday::1995::Ice Cube|Chris Tucker|Nia Long|Tommy 'Tiny' Lister|John Witherspoon|Anna Maria Horsford|Regina King|Paula Jai Parker|Faizon Love|DJ Pooh|Angela Means|Vickilyn Reynolds|Ronn Riser|Kathleen Bradley|Tony Cox
70::From Dusk Till Dawn::From Dusk Till Dawn::1996::George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis|Ernest Liu|Salma Hayek|Cheech Marin|Danny Trejo|Tom Savini|Fred Williamson|Michael Parks|Brenda Hillhouse|John Saxon|Marc Lawrence|Kelly Preston
71::Fair Game::Fair Game::1995::William Baldwin|Cindy Crawford|Steven Berkoff|Christopher McDonald|Miguel Sandoval|Johann Carlo|Salma Hayek|John Bedford Lloyd|Olek Krupa|Jenette Goldstein|Marc Macaulay|Sonny Carl Davis|Frank Medrano|Don Yesso|Paul Dillon
72::Kicking and Screaming::Kicking and Screaming::1995::Josh Hamilton|Samuel Gould|Catherine Kellner|Jonathan Baumbach|John Lehr|Olivia d'Abo|Peter Czernin|Carlos Jacott|Chris Eigeman|Eric Stoltz|Eliza Roberts|Jason Wiles|Parker Posey|Christopher Reed|Noah Baumbach
73::"Mis√©rables, Les"::"Mis√©rables, Les "::1995::Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines|SalomÈ Lelouch|Annie Girardot|Philippe LÈotard|ClÈmentine CÈlariÈ|Philippe Khorsand|Ticky Holgado|Rufus|Nicole Croisille|William Leymergie|Jean Marais|Micheline Presle|Darry Cowl
74::Bed of Roses::Bed of Roses::1996::Christian Slater|Mary Stuart Masterson|Pamela Adlon|Josh Brolin|Brian Tarantina|Debra Monk|Mary Alice|Kenneth Cranham|Ally Walker|Anne Pitoniak|Michael Haley|Cass Morgan|Gina Torres|Nick Tate|VÌctor Sierra
75::Big Bully::Big Bully::1996::Rick Moranis|Tom Arnold|Julianne Phillips|Carol Kane|Jeffrey Tambor|Curtis Armstrong|Faith Prince|Tony Pierce|Don Knotts|Blake Bashoff|Cody McMains|Harry Waters Jr.|Stuart Pankin|Justin Jon Ross|Michael Zwiener
76::Screamers::Screamers::1995::Peter Weller|Roy Dupuis|Jennifer Rubin|Andrew Lauer|Charles Edwin Powell|Ron White|Michael Caloz|Liliana Komorowska|Jason Cavalier|Leni Parker|Sylvain MassÈ|Bruce Boa|Tom Berry|Henry Ramer|
77::Nico Icon::Nico Icon::1995::Nico|Tina Aumont|Christian P‰ffgen|Edith Boulogne|Jackson Browne|John Cale|Danny Fields|Carlos De Maldonado-Bostock|Jonas Mekas|Paul Morrissey|Sterling Morrison|Billy Name|Nikos Papatakis|Lutz Ulbrich|Viva
78::"Crossing Guard, The"::"Crossing Guard, The "::1995::Jack Nicholson|David Morse|Anjelica Huston|Robin Wright|Piper Laurie|Richard Bradford|Priscilla Barnes|David Baerwald|Robbie Robertson|John Savage|Kari Wuhrer|Jennifer Leigh Warren|Kellita Smith|Richard C. Sarafian|Bobby Cooper
79::"Juror, The"::"Juror, The "::1996::Demi Moore|Alec Baldwin|Joseph Gordon-Levitt|James Gandolfini|Lindsay Crouse|Anne Heche|Tony Lo Bianco|Michael Constantine|Matt Craven|Todd Susman|Michael Rispoli|Julie Halston|Frank Adonis|Matthew Cowles|Polly Adams
80::"White Balloon, The"::"White Balloon, The (Badkonake Sefid ) "::1995::Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy|Anna Borkowska|Mohammad Shahani|Mohammed Bakhtiar|Aliasghar Smadi|Hamidreza Tahery|Asghar Barzegar|Hasan Neamatolahi|Bosnali Bahary|Mohammadreza Baryar|Shaker Hayely|Homayoon Rokani|Mohammad Farakani
81::Things to Do in Denver when You're Dead::Things to Do in Denver when You're Dead::1995::Andy Garcia|Christopher Lloyd|William Forsythe|Bill Nunn|Treat Williams|Jack Warden|Steve Buscemi|Fairuza Balk|Gabrielle Anwar|Christopher Walken|Michael Nicolosi|Bill Cobbs|Marshall Bell|Glenn Plummer|Don Stark
82::Antonia's Line::Antonia's Line (Antonia)::1995::Willeke van Ammelrooy|Els Dottermans|Dora van der Groen|Veerle van Overloop|Esther Vriesendorp|Carolien Spoor|Thyrza Ravesteijn|Mil Seghers|Jan Decleir|Elsie de Brauw|Reinout Bussemaker|Marina de Graaf|Jan Steen|Catherine ten Bruggencate|Paul Kooij
83::Once Upon a Time... When We Were Colored::Once Upon a Time... When We Were Colored::1995::Al Freeman Jr.|Phylicia Rashad|Leon|Paula Kelly|Salli Richardson-Whitfield|Anna Maria Horsford|Bernie Casey|Isaac Hayes|Ray J|Karen Malina White|Damon Hines|Iona Morris|Phill Lewis|Taj Mahal|Polly Bergen
84::Last Summer in the Hamptons::Last Summer in the Hamptons::1995::Victoria Foyt|Viveca Lindfors|Jon Robin Baitz|Savannah Smith Boucher|Roscoe Lee Browne|Andre Gregory|Nick Gregory|Melissa Leo|Roddy McDowall|Martha Plimpton|Ron Rifkin|Diane Salinger|Brooke Smith|Kristoffer Tabori|Holland Taylor
85::Angels and Insects::Angels and Insects::1995::Mark Rylance|Kristin Scott Thomas|Patsy Kensit|Jeremy Kemp|Douglas Henshall|Annette Badland|Chris Larkin|Anna Massey|Saskia Wickham|Lindsay Thomas|Michelle Sylvester|Clare Lovell|Jenny Lovell|Oona Haas|Angus Hodder
86::White Squall::White Squall::1996::Jeff Bridges|Caroline Goodall|John Savage|Scott Wolf|Jeremy Sisto|Ryan Phillippe|David Lascher|Eric Michael Cole|Jason Marsden|David Selby|Julio Oscar Mechoso|Zeljko Ivanek|Balthazar Getty|Ethan Embry|Jordan Clarke
87::Dunston Checks In::Dunston Checks In::1996::Jason Alexander|Faye Dunaway|Eric Lloyd|Rupert Everett|Graham Sack|Paul Reubens|Glenn Shadix|Nathan Davis|Jennifer Bassey|Judith Scott|Bruce Beatty|Danny Comden|Steven Gilborn|Lois De Banzie|Natalie Core
88::Black Sheep::Black Sheep::1996::Chris Farley|David Spade|Tim Matheson|Christine Ebersole|Gary Busey|Grant Heslov|Timothy Carhart|Bruce McGill|Michael Patrick Carter|Boyd Banks|David St. James|Skip O'Brien|Branden Morgan|Gypsy' Spheeris|John Ashker
89::Nick of Time::Nick of Time::1995::Johnny Depp|Courtney Chase|Charles S. Dutton|Christopher Walken|Roma Maffia|Marsha Mason|Peter Strauss|Gloria Reuben|Bill Smitrovich|G.D. Spradlin|Yul Vazquez|Edith Diaz|Armando Ortega|C.J. Bau|Cynthena Sanders
90::"Journey of August King, The"::"Journey of August King, The "::1995::Jason Patric|Thandie Newton|Larry Drake|Sam Waterston|Sarah-Jane Wylde|Eric Mabius|Muse Watson|John Doman|Andy Stahl|Danny Nelson|Collin Wilcox Paxton|Dean Rader-Duval|Billy Ray Reynolds|Marlus Harding|Lisa Roberts Gillan
92::Mary Reilly::Mary Reilly::1996::Julia Roberts|John Malkovich|George Cole|Michael Gambon|Kathy Staff|Glenn Close|Michael Sheen|Bronagh Gallagher|Linda Bassett|Henry Goodman|Ciar·n Hinds|Sasha Hanau|Moya Brady|Emma Griffiths Malin|David Ross
93::Vampire in Brooklyn::Vampire in Brooklyn::1995::Eddie Murphy|Angela Bassett|Allen Payne|Kadeem Hardison|John Witherspoon|Zakes Mokae|Joanna Cassidy|Simbi Kali|Messiri Freeman|Kelly Cinnante|Jsu Garcia|W. Earl Brown|Ayo Adeyemi|Troy Curvey Jr.|Vickilyn Reynolds
