14::Postino, Il::Philippe Noiret|Massimo Troisi|Maria Grazia Cucinotta|Renato Scarpa|Linda Moretti|Sergio Solli|Carlo Di Maio|Nando Neri|Vincenzo Di Sauro|Orazio Stracuzzi|Alfredo Cozzolino|Mariano Rigillo|Anna Bonaiuto
15::Mr. Holland's Opus::Richard Dreyfuss|Glenne Headly|Jay Thomas|Olympia Dukakis|William H. Macy|Alicia Witt|Terrence Howard|Damon Whitaker|Jean Louisa Kelly|Alexandra Boyd|Nicholas John Renner|Joseph Anderson|Anthony Natale|Joanna Gleason|Beth Maitland
16::French Twist::Victoria Abril|Josiane Balasko|Alain Chabat|Ticky Holgado|Catherine Hiegel|Catherine Samie|Catherine Lachens|Katrine Boorman|Telsche Boorman|Véronique Barrault|Sylvie Audcoeur|Michèle Bernier|Maureen Diot|Miguel Bosé|Jean-Luc Violet
17::From Dusk Till Dawn::George Clooney|Quentin Tarantino|Harvey Keitel|Juliette Lewis|Ernest Liu|Salma Hayek|Cheech Marin|Danny Trejo|Tom Savini|Fred Williamson|Michael Parks|Brenda Hillhouse|John Saxon|Marc Lawrence|Kelly Preston
18::White Balloon, The::Aida Mohammadkhani|Mohsen Kafili|Fereshteh Sadre Orafaiy|Anna Borkowska|Mohammad Shahani|Mohammed Bakhtiar|Aliasghar Smadi|Hamidreza Tahery|Asghar Barzegar|Hasan Neamatolahi|Bosnali Bahary|Mohammadreza Baryar|Shaker Hayely|Homayoon Rokani|Mohammad Farakani
19::Antonia's Line::Willeke van Ammelrooy|Els Dottermans|Dora van der Groen|Veerle van Overloop|Esther Vriesendorp|Carolien Spoor|Thyrza Ravesteijn|Mil Seghers|Jan Decleir|Elsie de Brauw|Reinout Bussemaker|Marina de Graaf|Jan Steen|Catherine ten Bruggencate|Paul Kooij
20::Angels and Insects::Mark Rylance|Kristin Scott Thomas|Patsy Kensit|Jeremy Kemp|Douglas Henshall|Annette Badland|Chris Larkin|Anna Massey|Saskia Wickham|Lindsay Thomas|Michelle Sylvester|Clare Lovell|Jenny Lovell|Oona Haas|Angus Hodder
21::Muppet Treasure Island::Tim Curry|Billy Connolly|Jennifer Saunders|Kevin Bishop|Dave Goelz|Steve Whitmire|Jerry Nelson|Kevin Clash|Bill Barretta|Frank Oz|John Henson|Danny Blackner|Peter Geeves|Harry Jones|David J. Nicholls
22::Braveheart::James Robinson|Sean Lawlor|Sandy Nelson|James Cosmo|Sean McGinley|Alan Tall|Andrew Weir|Gerda Stevenson|Ralph Riach|Mhairi Calvey|Brian Cox|Patrick McGoohan|Peter Hanly|Sophie Marceau|Stephen Billington
23::Taxi Driver::Diahnne Abbott|Robinson Frank Adu|Victor Argo|Gino Ardito|Garth Avery|Peter Boyle|Albert Brooks|Harry Cohn|Copper Cunningham|Robert De Niro|Brenda Dickson|Harry Fischler|Jodie Foster|Nat Grant|Leonard Harris
24::Rumble in the Bronx::Jackie Chan|Anita Mui|Françoise Yip|Bill Tung|Marc Akerstream|Garvin Cross|Morgan Lam|Ailen Sit|Man-Ching Chan|Fred Andrucci|Mark Antoniuk|Lauro David Chartrand-DelValle|Chris Franco|Lance Gibson|David Hooper
25::Birdcage, The::Robin Williams|Gene Hackman|Nathan Lane|Dianne Wiest|Dan Futterman|Calista Flockhart|Hank Azaria|Christine Baranski|Tom McGowan|Grant Heslov|Kirby Mitchell|James Lally|Luca Tommassini|Luis Camacho|André Fuentes
26::Brothers McMullen, The::Shari Albert|Maxine Bahns|Catharine Bolz|Connie Britton|Edward Burns|Peter Johansen|Jennifer Jostyn|Michael McGlone|Elizabeth McKay|Jack Mulcahy
27::Bad Boys::Lisa Boyle|Michael Taliferro|Emmanuel Xuereb|Tchéky Karyo|Marc Macaulay|Ralph Gonzalez|Vic Manni|Frank John Hughes|Mike Kirton|Martin Lawrence|Will Smith|Will Knickerbocker|Theresa Randle|Tiffany Samuels|Cory Hodges
28::Apollo 13::Tom Hanks|Bill Paxton|Kevin Bacon|Gary Sinise|Ed Harris|Kathleen Quinlan|Mary Kate Schellhardt|Emily Ann Lloyd|Miko Hughes|Max Elliott Slade|Jean Speegle Howard|Tracy Reiner|David Andrews|Michele Little|Chris Ellis
29::Batman Forever::Val Kilmer|Tommy Lee Jones|Jim Carrey|Nicole Kidman|Chris O'Donnell|Michael Gough|Pat Hingle|Drew Barrymore|Debi Mazar|Elizabeth Sanders|Rene Auberjonois|Joe Grifasi|Philip Moon|Jessica Tuck|Dennis Paladino
30::Belle de jour::Catherine Deneuve|Jean Sorel|Michel Piccoli|Geneviève Page|Pierre Clémenti|Françoise Fabian|Macha Méril|Muni|Maria Latour|Claude Cerval|Michel Charrel|Iska Khan|Bernard Musson|Marcel Charvey|François Maistre
31::Crimson Tide::Denzel Washington|Gene Hackman|Matt Craven|George Dzundza|Viggo Mortensen|James Gandolfini|Rocky Carroll|Jaime Gomez|Michael Milhoan|Scott Burkholder|Danny Nucci|Lillo Brancato|Eric Bruskotter|Ricky Schroder|Steve Zahn
32::Crumb::Robert Crumb|Aline Kominsky-Crumb|Charles Crumb|Maxon Crumb|Robert Hughes|Martin Muller|Don Donahue|Dana Morgan|Trina Robbins|Spain Rodriguez|Bill Griffith|Deirdre English|Peggy Orenstein|Beatrice Crumb|Kathy Goodell
33::Desperado::Antonio Banderas|Salma Hayek|Joaquim de Almeida|Cheech Marin|Steve Buscemi|Carlos Gómez|Quentin Tarantino|Tito Larriva|Angel Aviles|Danny Trejo|Abraham Verduzco|Carlos Gallardo|Albert Michel Jr.|David Alvarado|Angela Lanza
34::Doom Generation, The::James Duval|Rose McGowan|Johnathon Schaech|Cress Williams|Skinny Puppy|Dustin Nguyen|Margaret Cho|Lauren Tewes|Christopher Knight|Nicky Katt|Johanna Went|Perry Farrell|Amanda Bearse|Parker Posey|Salvator Xuereb
35::Free Willy 2: The Adventure Home::Jason James Richter|Francis Capra|Mary Kate Schellhardt|August Schellenberg|Michael Madsen|Jayne Atkinson|Mykelti Williamson|Elizabeth Peña|Jon Tenney|Paul Tuerpe|M. Emmet Walsh|John Considine|Steve Kahan|Neal Matarazzo|Al Sapienza
36::Mad Love::Chris O'Donnell|Drew Barrymore|Matthew Lillard|Richard Chaim|Robert Nadir|Joan Allen|Jude Ciccolella|Amy Sakasitz|T.J. Lowther|Kevin Dunn|Elaine Miles|Sharon Collar|Selene H. Vigil|Valerie M. Agnew|Roisin Dunne
37::Nadja::Elina Löwensohn|Nic Ratner|Karl Geary|Peter Fonda|Martin Donovan|Jack Lotz|Galaxy Craze|David Lynch|Isabel Gillies|José Zúñiga|Bernadette Jurkowski|Jeff Winner|Sean|Suzy Amis|Jared Harris
38::Net, The::Sandra Bullock|Jeremy Northam|Dennis Miller|Diane Baker|Wendy Gazelle|Ken Howard|Ray McKinnon|Daniel Schorr|L. Scott Caldwell|Robert Gossett|Kristina Krofft|Juan Garcia|Tony Perez|Margo Winkler|Gene Kirkwood
39::Strange Days::Ralph Fiennes|Angela Bassett|Juliette Lewis|Tom Sizemore|Michael Wincott|Vincent D'Onofrio|Glenn Plummer|Brigitte Bako|Richard Edson|William Fichtner|Josef Sommer|Joe Urla|Nicky Katt|Michael Jace|Louise LeCavalier
40::To Wong Foo, Thanks for Everything! Julie Newmar::Wesley Snipes|Patrick Swayze|John Leguizamo|Stockard Channing|Blythe Danner|Arliss Howard|Jason London|Chris Penn|Melinda Dillon|Beth Grant|Alice Drummond|Marceline Hugot|Jennifer Milmore|Jamie Harrold|Mike Hodge
41::Billy Madison::Adam Sandler|Darren McGavin|Bridgette Wilson-Sampras|Bradley Whitford|Josh Mostel|Norm MacDonald|Mark Beltzman|Larry Hankin|Theresa Merritt|Dina Platias|Hrant Alianak|Vincent Marino|Jack Mather|Christopher Kelk|Marc Donato
42::Clerks::Brian O'Halloran|Jeff Anderson|Marilyn Ghigliotti|Lisa Spoonauer|Jason Mewes|Kevin Smith|Scott Mosier|Scott Schiaffo|Al Berkowitz|Walter Flanagan|Ed Hapstak|Lee Bendick|David Klein|Pattijean Csik|Ken Clark
43::Disclosure::Michael Douglas|Demi Moore|Donald Sutherland|Caroline Goodall|Roma Maffia|Dylan Baker|Rosemary Forsyth|Dennis Miller|Suzie Plakson|Nicholas Sadler|Jacqueline Kim|Joe Urla|Michael Chieffo|Joseph Attanasio|Faryn Einhorn
44::Dolores Claiborne::Kathy Bates|Jennifer Jason Leigh|Judy Parfitt|Christopher Plummer|David Strathairn|Eric Bogosian|John C. Reilly|Ellen Muth|Bob Gunton|Roy Cooper|Wayne Robson|Ruth Marshall|Weldon Allen|Tom Gallant|Kelly Burnett
45::Eat Drink Man Woman::Sihung Lung|Yu-Wen Wang|Chien-Lien Wu|Kuei-Mei Yang|Sylvia Chang|Winston Chao|Chao-jung Chen|Chit-Man Chan|Yu Chen|Ah-Lei Gua|Chi-Der Hong|Gin-Ming Hsu|Huel-Yi Lin|Shih-Jay Lin|Chin-Cheng Lu
46::Exotica::Bruce Greenwood|Mia Kirshner|Don McKellar|Elias Koteas|Arsinée Khanjian|Victor Garber|Sarah Polley|David Hemblen|Calvin Green|Jack Blum|Ken McDougall|Peter Krantz|Billy Merasty|Damon D'Oliveira|
47::Ed Wood::Johnny Depp|Martin Landau|Sarah Jessica Parker|Patricia Arquette|Jeffrey Jones|G.D. Spradlin|Vincent D'Onofrio|Bill Murray|Mike Starr|Max Casella|Brent Hinkley|Lisa Marie|George 'The Animal' Steele|Juliet Landau|Clive Rosengren
48::Hoop Dreams::William Gates|Arthur Agee|Emma Gates|Curtis Gates|Sheila Agee|Arthur 'Bo' Agee|Earl Smith|Gene Pingatore|Isiah Thomas|Marlyn Hopewell|Bill Gleason|Patricia Weir|Marjorie Heard|Luther Bedford|Aretha Mitchell
49::I.Q.::Tim Robbins|Meg Ryan|Walter Matthau|Lou Jacobi|Gene Saks|Joseph Maher|Stephen Fry|Tony Shalhoub|Frank Whaley|Charles Durning|Keene Curtis|Alice Playten|Danny Zorn|Helen Hanft|Roger Berlind
50::Star Wars::Mark Hamill|Harrison Ford|Carrie Fisher|Peter Cushing|Alec Guinness|Anthony Daniels|Kenny Baker|Peter Mayhew|David Prowse|Phil Brown|Shelagh Fraser|Jack Purvis|Alex McCrindle|Eddie Byrne|Drewe Henley
51::Legends of the Fall::Brad Pitt|Anthony Hopkins|Aidan Quinn|Julia Ormond|Henry Thomas|Karina Lombard|Tantoo Cardinal|Gordon Tootoosis|Paul Desmond|Christina Pickles|Robert Wisden|John Novak|Kenneth Welsh|Bill Dow|Sam Sarkar
52::Madness of King George, The::Rupert Graves|Helen Mirren|Amanda Donohoe|Charlotte Curley|Peter Bride-Kirk|Eve Camden|Thomas Copeland|Joanna Hall|Cassandra Halliburton|Russell Martin|Natalie Palys|Rupert Everett|Julian Rhind-Tutt|David Leon|Martin Julier
53::Natural Born Killers::Woody Harrelson|Juliette Lewis|Tom Sizemore|Rodney Dangerfield|Everett Quinton|Jared Harris|Pruitt Taylor Vince|Edie McClurg|Russell Means|Lanny Flaherty|O-Lan Jones|Robert Downey Jr.|Richard Lineback|Kirk Baltz|Ed White
54::Outbreak::Dustin Hoffman|Rene Russo|Morgan Freeman|Kevin Spacey|Cuba Gooding Jr.|Donald Sutherland|Patrick Dempsey|Zakes Mokae|Malick Bowens
55::Professional, The::Joseph Malerba|David W. Butler|Robert LaSardo|Steve Gonnelo|William James Stiggers Jr.|Anthony Ragland|Crystal Michelle Blake|Sonny Zito|Rocky Hernandez|Randy Pearlstein|Trevor Walace|Keith S. Bullock|Jeff McBride
56::Pulp Fiction::Tim Roth|Amanda Plummer|Laura Lovelace|John Travolta|Samuel L. Jackson|Phil LaMarr|Frank Whaley|Burr Steers|Bruce Willis|Ving Rhames|Paul Calderon|Bronagh Gallagher
57::Priest::Mandy Walsh|Stephanie Roscoe|Ann Haydn-Edwards|Mike Haydn|Bobby Martino|Victoria Arnold|Gareth Potsig|Ray Williams|Valerie Lilley
58::Quiz Show::Paul Scofield|David Paymer|Hank Azaria|Christopher McDonald|Johann Carlo|Elizabeth Wilson|Allan Rich|Mira Sorvino|George Martin|Paul Guilfoyle
59::Three Colors: Red::Samuel Le Bihan|Marion Stalens|Teco Celio|Bernard Escalon|Jean Schlegel|Elzbieta Jasinska|Paul Vermeulen|Jean-Marie Daunas|Roland Carey
60::Three Colors: Blue::Philippe Volter|Claude Duneton|Hugues Quester|Emmanuelle Riva|Florence Vignon|Daniel Martin|Jacek Ostaszewski|Catherine Therouenne
61::Three Colors: White::Cezary Pazura|Michel Lisowski|Philippe Morier-Genoud|Piotr Machalica|Francis Coffinet|Barbara Dziekan|Yannick Evely|Marzena Trybala|Jacques Disses
62::Stargate::Kurt Russell|James Spader|Jaye Davidson|Viveca Lindfors|Alexis Cruz|Mili Avital|Leon Rippy|John Diehl|Carlos Lauchu|Djimon Hounsou|Erick Avari|French Stewart|Gianin Loffler
63::Santa Clause, The::Paige Tamada|Peter Boyle|Judith Scott|Jayne Eastwood|Melissa King|Bradley Wentworth|Azura Bates|Joshua Satok|Zachary McLemore|Joyce Guy
64::Shawshank Redemption, The::Morgan Freeman|Bob Gunton|William Sadler|Clancy Brown|Gil Bellows|Mark Rolston|James Whitmore|Jeffrey DeMunn|Larry Brandenburg|Neil Giuntoli|Brian Libby|David Proval
65::What's Eating Gilbert Grape::Juliette Lewis|Mary Steenburgen|Darlene Cates|Laura Harrington|Mary Kate Schellhardt|Kevin Tighe|John C. Reilly|Crispin Glover|Penelope Branning|Tim Green|Susan Loughran|Robert B. Hedges|Mark Jordan|Cameron Finley|Brady Coleman
66::While You Were Sleeping::Michael Rispoli|Ally Walker|Monica Keena|Ruth Rudnick|Marcia Wright|Dick Cusack|Thomas Q. Morris|Bernie Landis|James Krag|Rick Worthy|Marc Grapey|Joel Hatch|Mike Bacarella
67::Ace Ventura: Pet Detective::Jim Carrey|Courteney Cox|Sean Young|Tone Loc|Dan Marino|Noble Willingham|Troy Evans|Raynor Scheine|Udo Kier|Frank Adonis|Tiny Ron|David Margulies|John Capodice|Judy Clayton|Bill Zuckert|Alice Drummond
68::Crow, The::Brandon Lee|Rochelle Davis|Ernie Hudson|Michael Wincott|Bai Ling|Sofia Shinas|Anna Levine|David Patrick Kelly|Angel David|Laurence Mason|Michael Massee
69::Forrest Gump::Tom Hanks|Rebecca Williams|Sally Field|Michael Conner Humphreys|Harold G. Herthum|George Kelly|Bob Penny|John Randall|Sam Anderson|Margo Moorer|Ione M. Telech|Christine Seabrook|John Worsham|Peter Dobson
70::Four Weddings and a Funeral::Nonez|Nonez
71::Lion King, The::Rowan Atkinson|Matthew Broderick|Niketa Calame-Harris|Jim Cumming|Whoopi Goldberg|Robert Guillaume|Jeremy Irons|James Earl Jones|Moira Kelly|Nathan Lane|Zoe Leader|Cheech Marin|Ernie Babella|Madge Sinclair
72::The Mask ̣::Jim Carrey|Peter Riegert|Peter Riegert|Amy Yasbeck|Richard Jeni|Orestes Matacena|Tim Bagley
73::Maverick::Art LaFleur|Max Perlich|Clint Black|Denver Pyle|Dennis Fimple|Dan Hedaya
74::Faster Pussycat! Kill! Kill!::Paul Trinka|Stuart LancasterMichael Finn|Sue Bernard|Ray Barlow|Lori Williams|Tura Satana
75::Brother Minister: The Assassination of Malcolm X::Peter Bailey|Roscoe Lee Browne|John Henrik Clarke|Louis Farrakhan|James Fox|Robert Haggins|Robert L. Haggins|Khalil Islam|Benjamin Karim|Charles Kenyatta|Bab Zak Kondo|William Kunstler|Malcolm X|Elijah Muhammad|Wallace D. Muhammad
76::Carlito's Way::Al Pacino|Sean Penn|Penelope Ann MillerJohn Leguizamo|Ingrid Rogers|Luis Guzmán|James Rebhorn|Joseph Siravo
77::Firm, The::Tom Cruise|Jeanne Tripplehorn|Gene Hackman|Hal Holbrook|Terry Kinney|Wilford Brimley|Ed Harris|Holly Hunter|David Strathairn
78::Free Willy::Jason James Richter|Lori Petty|Jayne Atkinson|August Schellenberg|Michael Madsen|Michael Ironside|Richard Riehle|Mykelti Williamson|Michael Bacall|Danielle Harris|Isaiah Malone|Betsy Toll|Rob Sample|Merrilyn Jones|Mickey Gaines
79::Fugitive, The::Harrison Ford|Tommy Lee Jones|Sela Ward|Julianne Moore|Andreas Katsulas|Joe Pantoliano|Jeroen Krabbé|Daniel Roebuck|L. Scott Caldwell|Tom Wood
80::Hot Shots! Part Deux::Charlie Sheen|Lloyd Bridges|Valeria Golino|Richard Crenna|Brenda Bakke|Miguel Ferrer|Rowan Atkinson|Jerry Haleva|David Wohl|Mitchell Ryan|Michael Colyar
81::Hudsucker Proxy, The::Ethan Coen|Joel Coen|Jennifer Jason Leigh|Tim Robbins
82::Jurassic Park::Sam Neill|Laura Dern|Jeff Goldblum|Richard AttenboroughBob Peck|Martin Ferrero|BD Wong|Joseph Mazzello|Ariana Richards|Samuel L. Jackson
83::Much Ado About Nothing::Richard Briers|Kate Beckinsale|Imelda Staunton|Jimmy Yuill|Brian Blessed|Andy Hockley|Chris Barnes|Conrad Nelson|Phyllida Law|Emma Thompson|Alex Lowe|Denzel Washington|Keanu Reeves|Richard Clifford
84::Robert A. Heinlein's The Puppet Masters::Donald Sutherland|Eric Thal|Julie Warner|Keith David|Will Patton|Richard Belzer|Tom Mason|Yaphet Kotto|Gerry Bamman|Sam Anderson|J. Patrick McCormack|Marshall Bell|Nicholas Cascone|Bruce Jarchow
85::Ref, The::Denis Leary|Judy Davis|Kevin Spacey|Robert J. Steinmiller Jr.|Glynis Johns|Raymond J. Barry|Christine Baranski|Richard Bright|Adam LeFevre|Phillip Nicoll|Ellie Raab|Bill Raymond|John Scurti|Jim Turner
86::Remains of the Day, The::John Haycraft|Christopher Reeve|Anthony Hopkins|Emma Thompson|Caroline Hunt|James Fox|Peter Vaughan|Paula Jacobs|Ben Chaplin|Steve Dibben|Abigail Hopkins|Patrick Godfrey|Peter Cellier|Peter Halliday
87::Searching for Bobby Fischer::Max Pomeranc|Joe Mantegna|Joan Allen|Ben Kingsley|Laurence Fishburne|Michael Nirenberg|Robert Stephens|David Paymer|Hal Scardino|Vasek Simek|William H. Macy|Dan Hedaya|Laura Linney
88::Sleepless in Seattle::Tom Hanks|Ross Malinger|Rita Wilson|Victor Garber|Tom Riis Farrell|Carey Lowell|Meg Ryan|Bill Pullman|Le Clanché du Rand|Kevin O'Morrison|David Hyde Pierce
89::Blade Runner::Harrison Ford|Rutger Hauer|Sean Young|Edward James Olmos|M. Emmet Walsh|Daryl Hannah|William Sanderson|Brion James|Joe Turkel|Joanna Cassidy|Morgan Paull|James Hong|Kevin Thompson
90::So I Married an Axe Murderer::Steven Wright|Debi Mazar|Phil Hartman|Charles Grodin|Matt Doherty|Brenda Fricker|Amanda Plummer|Anthony LaPaglia|Nancy Travis|Mike Myers
91::Nightmare Before Christmas, The::Danny Elfman|Chris Sarandon|Catherine O'Hara|William Hickey|Glenn Shadix|Paul Reubens|Ken Page|Edward Ivory|Susan McBrideDebi Durst|Greg Proops|Kerry Katz|Randy Crenshaw
92::True Romance::Christian Slater|Patricia Arquette|Dennis Hopper|Val Kilmer|Gary Oldman|Brad Pitt|Christopher Walken|Bronson Pinchot
93::Welcome to the Dollhouse::Heather Matarazzo|Victoria Davis|Christina Brucato|Christina Vidal|Siri Howard|Brendan Sexton III|Telly Pontidis|Herbie Duarte|Scott Coogan|Daria Kalinina|Matthew Faber|Josiah Trager|Ken Leung|Dimitri DeFresco|Rica Martens
94::Home Alone::Macaulay Culkin|Joe Pesci|Daniel Stern|John Heard|Roberts Blossom|Catherine O'Hara|Angela Goethals|Devin Ratray|Gerry Bamman|Hillary Wolf|John Candy|Larry Hankin|Michael C. Maronna|Kristin Minter|Diana Rein
95::Aladdin::Scott Weinger|Robin Williams|Linda Larkin|Jonathan Freeman|Frank Welker|Gilbert Gottfried|Douglas Seale|Charlie Adler|Jack Angel|Corey Burton|Philip L. Clarke|Jim Cummings|Jennifer Darling|Debi Derryberry|Bruce Gooch
96::Terminator: Judgment Day::Arnold Schwarzenegger|Linda Hamilton|Edward Furlong|Robert Patrick|Earl Boen|Joe Morton|S. Epatha Merkerson|Castulo Guerra|Danny Cooksey|Jenette Goldstein|Xander Berkeley|Leslie Hamilton Gearren|Ken Gibbel|Robert Winley|Peter Schrum
97::Dances with Wolves::Kevin Costner|Mary McDonnell|Graham Greene|Rodney A. Grant|Floyd 'Red Crow' Westerman|Tantoo Cardinal|Robert Pastorelli|Charles Rocket|Maury Chaykin|Jimmy Herman|Nathan Lee Chasing His Horse|Michael Spears|Jason R. Lone Hill|Tony Pierce|Doris Leader Charge
98::Silence of the Lambs, The::Jodie Foster|Lawrence A. Bonney|Kasi Lemmons|Lawrence T. Wrentz|Scott Glenn|Anthony Heald|Frankie Faison|Don Brockett|Frank Seals Jr.|Stuart Rudin|Anthony Hopkins|Maria Skorobogatov|Jeffrie Lane|Leib Lensky|George 'Red' Schwartz
99::Snow White and the Seven Dwarfs::Roy Atwell|Stuart Buchanan|Adriana Caselotti|Eddie Collins|Pinto Colvig|Marion Darlington|Billy Gilbert|Otis Harlan|Lucille La Verne|James MacDonald|Scotty Mattraw|Moroni Olsen|Purv Pullen|Harry Stockwell
100::Fargo::William H. Macy|Steve Buscemi|Peter Stormare|Kristin Rudrüd|Harve Presnell|Tony Denman|Gary Houston|Sally Wingert|Kurt Schweickhardt|Larissa Kokernot|Melissa Peterman|Steve Reevis|Warren Keith|Steve Edelman|Sharon Anderson
101::Heavy Metal::Don Francks|Caroline Semple|Richard Romanus|Susan Roman|Al Waxman|Harvey Atkin|John Candy|Glenis Wootton Gross|Marilyn Lightstone|Jackie Burroughs|Martin Lavut|August Schellenberg|John Vernon|Eugene Levy|Joe Flaherty
102::Aristocats, The::Phil Harris|Eva Gabor|Sterling Holloway|Scatman Crothers|Paul Winchell|Lord Tim Hudson|Vito Scotti|Thurl Ravenscroft|Dean Clark|Liz English|Gary Dubin|Nancy Kulp|Pat Buttram|George Lindsey|Monica Evans
103::All Dogs Go to Heaven::Bebe Neuwirth|Ernest Borgnine|Charlie Sheen|Hamilton Camp|Steve Mackall|Dan Castellaneta|Dom DeLuise|Tony Jay|Jim Cummings|Wallace Shawn|Sheena Easton|George Hearn|Adam Wylie|Kevin Michael Richardson|Pat Corley
104::Theodore Rex::Whoopi Goldberg|Armin Mueller-Stahl|Juliet Landau|Bud Cort|Stephen McHattie|George Newbern|Carol Kane|Richard Roundtree|Jack Riley|Peter Mackenzie|Joe Dallesandro|Tony T. Johnson|Susie Coelho|Peter Kwong|Edith Diaz
105::Sgt. Bilko::Steve Martin|Dan Aykroyd|Phil Hartman|Glenne Headly|Daryl Mitchell|Max Casella|Eric Edwards|Dan Ferro|John Marshall Jones|Brian Leckner|John Ortiz|Pamela Adlon|Mitchell Whitfield|Austin Pendleton|Chris Rock
106::Diabolique::Sharon Stone|Isabelle Adjani|Chazz Palminteri|Kathy Bates|Spalding Gray|Shirley Knight|Allen Garfield|Adam Hann-Byrd|Donal Logue|Diana Bellamy|Clea Lewis|J.J. Abrams|O'Neal Compton|Bingo O'Malley|Stephen Liska
107::Moll Flanders::Robin Wright|Morgan Freeman|Stockard Channing|John Lynch|Brenda Fricker|Geraldine James|Aisling Corcoran|Jim Sheridan|Jeremy Brett|Britta Smith|Cathy Murphy|Emma McIvor|Maria Doyle Kennedy|Ger Ryan|Harry Towb
108::Kids in the Hall: Brain Candy::Dave Foley|Bruce McCulloch|Kevin McDonald|Mark McKinney|Scott Thompson|Kathryn Greenwood|Amy Smith|Lachlan Murdoch|Nicole de Boer|Krista Bridges|Christopher Redman|Erica Fairfield|Jackie Harris Greenberg|Jonathan Wilson|Tony Ning
109::Mystery Science Theater 3000: The Movie::Trace Beaulieu|Michael J. Nelson|Jim Mallon|Kevin Murphy|John Brady
110::Operation Dumbo Drop::Danny Glover|Ray Liotta|Denis Leary|Doug E. Doug|Corin Nemec|Dinh Thien Le|Tchéky Karyo|Hoang Ly|Vo Trung Anh|Marshall Bell|James Hong|Long Nguyen|Tim Kelleher|Scott N. Stevens|Kevin LaRosa
